t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
35.500,40.0000,150.0000,42.5625,44.8598,6000.00,0.064000
35.600,40.0000,150.0000,42.5625,44.8955,6000.00,0.064000
35.700,40.0000,150.0000,42.7500,44.9311,6000.00,0.064000
35.800,40.0000,150.0000,42.6875,44.9667,6000.00,0.064000
35.900,40.0000,150.0000,42.7500,45.0021,6000.00,0.064000
36.000,40.0000,150.0000,42.8125,45.0375,6000.00,0.064000
36.100,40.0000,150.0000,42.7500,45.0728,6000.00,0.064000
36.200,40.0000,150.0000,42.8750,45.1081,6000.00,0.064000
36.300,40.0000,150.0000,42.8750,45.1432,6000.00,0.064000
36.400,40.0000,150.0000,42.8750,45.1783,6000.00,0.064000
36.500,40.0000,150.0000,42.8750,45.2133,6000.00,0.064000
36.600,40.0000,150.0000,43.0625,45.2482,6000.00,0.064000
36.700,40.0000,150.0000,43.0625,45.2830,6000.00,0.064000
36.800,40.0000,150.0000,43.0625,45.3178,6000.00,0.064000
36.900,40.0000,150.0000,43.1250,45.3525,6000.00,0.064000
37.000,40.0000,150.0000,43.1875,45.3871,6000.00,0.064000
37.100,40.0000,150.0000,43.1250,45.4216,6000.00,0.064000
37.200,40.0000,150.0000,43.2500,45.4560,6000.00,0.064000
37.300,40.0000,150.0000,43.3125,45.4904,6000.00,0.064000
37.400,40.0000,150.0000,43.3750,45.5247,6000.00,0.064000
37.500,40.0000,150.0000,43.3750,45.5589,6000.00,0.064000
37.600,40.0000,150.0000,43.4375,45.5931,6000.00,0.064000
37.700,40.0000,150.0000,43.3750,45.6271,6000.00,0.064000
37.800,40.0000,150.0000,43.4375,45.6611,6000.00,0.064000
37.900,40.0000,150.0000,43.5000,45.6951,6000.00,0.064000
38.000,40.0000,150.0000,43.6250,45.7289,6000.00,0.064000
38.100,40.0000,150.0000,43.5625,45.7627,6000.00,0.064000
38.200,40.0000,150.0000,43.6250,45.7964,6000.00,0.064000
38.300,40.0000,150.0000,43.7500,45.8300,6000.00,0.064000
38.400,40.0000,150.0000,43.7500,45.8635,6000.00,0.064000
